id,keyword,location,text,target,processed_text
0,ablaze,,"Communal violence in Bhainsa, Telangana. ""Stones were pelted on Muslims' houses and some houses and vehicles were set ablaze…",1,communal violence bhainsa telangana stone pelted muslim house house vehicle set ablaze
1,ablaze,,"Telangana: Section 144 has been imposed in Bhainsa from January 13 to 15, after clash erupted between two groups on January 12. Po…",1,telangana section 144 imposed bhainsa january 13 15 clash erupted two group january 12 po
2,ablaze,New York City,Arsonist sets cars ablaze at dealership https://t.co/gOQvyJbpVI,1,arsonist set car ablaze dealership
3,ablaze,"Morgantown, WV",Arsonist sets cars ablaze at dealership https://t.co/0gL7NUCPlb https://t.co/u1CcBhOWh9,1,arsonist set car ablaze dealership
4,ablaze,,"""Lord Jesus, your love brings freedom and pardon. Fill me with your Holy Spirit and set my heart ablaze with your l… https://t.co/VlTznnPNi8",0,lord jesus love brings freedom pardon fill holy spirit set heart ablaze l
5,ablaze,OC,"If this child was Chinese, this tweet would have gone viral. Social media would be ablaze. SNL would have made a racist j…",0,child chinese tweet would gone viral social medium would ablaze snl would made racist j
6,ablaze,"London, England","Several houses have been set ablaze in Ngemsibaa village, Oku sub division in the North West Region of Cameroon by… https://t.co/99uHGAzxy2",1,several house set ablaze ngemsibaa village oku sub division north west region cameroon
7,ablaze,Bharat,Asansol: A BJP office in Salanpur village was set ablaze last night. BJP has alleged that TMC is behind the incident. Police has b…,1,asansol bjp office salanpur village set ablaze last night bjp alleged tmc behind incident police b
8,ablaze,"Accra, Ghana","National Security Minister, Kan Dapaah's side chic has set the internet ablaze with her latest powerful video.… https://t.co/rhzOMQVSlj",0,national security minister kan dapaahs side chic set internet ablaze latest powerful video
9,ablaze,Searching,This creature who’s soul is no longer clarent but blue ablaze This thing Carrying memories Memories of… https://t.co/tBKSNDrDoX,0,creature who soul longer clarent blue ablaze thing carrying memory memory
10,ablaze,,Images showing the havoc caused by the #Cameroon military as they torched houses in #Oku.The shameless military is reported…,1,image showing havoc caused cameroon military torched house okuthe shameless military reported
11,ablaze,,Social media went bananas after Chuba Hubbard announced Monday evening his plans to return to #okstate. https://t.co/peN…,0,social medium went banana chuba hubbard announced monday evening plan return okstate
12,ablaze,,Hausa youths set Area Office of Apapa-Iganmu Local Council Development Area ablaze. Okada Riders stormed the LG area office…,1,hausa youth set area office apapaiganmu local council development area ablaze okada rider stormed lg area office
13,ablaze,HYDERABAD,Under #MamataBanerjee political violence &amp; vandalism continues to unabated in West Bengal! office in Asanol was…,1,mamatabanerjee political violence amp vandalism continues unabated west bengal office asanol
14,ablaze,"Reno, NV","AMEN! Set the whole system ablaze, man. https://t.co/J08xHDcGbD",0,amen set whole system ablaze man
15,ablaze,,Images showing the havoc caused by the #Cameroon military as they torched houses in #Oku.The shameless military is… https://t.co/gIwZCH533D,1,image showing havoc caused cameroon military torched house okuthe shameless military
16,ablaze,,No cows today but our local factory is sadly still ablaze #REDJanuary2020 https://t.co/CMyuKzrcKz,1,cow today local factory sadly still ablaze redjanuary2020
17,ablaze,,Rengoku sets my heart ablaze😔❤️🔥 P.s. I missed this style of coloring I do so here it is c: #鬼滅の刃 https://t.co/YrUF9g68s0,0,rengoku set heart ablaze p missed style coloring c 鬼滅の刃
18,ablaze,Worldwide,paulzizkaphoto: “Rundle Ablaze” Wishing you all a good evening... https://t.co/d0NlME1HQz https://t.co/hlVlT6qiIp,0,paulzizkaphoto rundle ablaze wishing good evening
