tweet,location,date,urgency,disaster,city,state
Flash floods have submerged vast areas of Leh. Rescue operations are underway.,"Leh, Ladakh",2010-08-06,high,Flood,Leh,Ladakh
Heavy rains have caused severe flooding in Srinagar. Thousands are stranded.,"Srinagar, Jammu and Kashmir",2014-09-07,high,Flood,Srinagar,Jammu and Kashmir
"Cyclone Hudhud has made landfall near Visakhapatnam, causing widespread damage.","Visakhapatnam, Andhra Pradesh",2014-10-12,high,Storm,Visakhapatnam,Andhra Pradesh
Chennai is experiencing unprecedented flooding due to continuous heavy rainfall.,"Chennai, Tamil Nadu",2015-12-01,high,Flood,Chennai,Tamil Nadu
"Cyclone Vardah has struck Chennai, leading to power outages and uprooted trees.","Chennai, Tamil Nadu",2016-12-12,medium,Storm,Chennai,Tamil Nadu
Severe flooding in Mumbai has disrupted transportation and daily life.,"Mumbai, Maharashtra",2017-08-29,medium,Flood,Mumbai,Maharashtra
Kerala is facing its worst floods in a century. Thousands have been displaced.,"Alappuzha, Kerala",2018-08-16,high,Flood,Alappuzha,Kerala
Cyclone Fani has caused extensive damage in Bhubaneswar. Relief efforts are ongoing.,"Bhubaneswar, Odisha",2019-05-03,high,Storm,Bhubaneswar,Odisha
Heavy monsoon rains have led to severe flooding in Patna. Residents are seeking shelter.,"Patna, Bihar",2019-09-30,medium,Flood,Patna,Bihar
Cyclone Amphan has devastated parts of Kolkata. Emergency services are responding.,"Kolkata, West Bengal",2020-05-20,high,Storm,Kolkata,West Bengal
Hyderabad is experiencing flash floods due to heavy rainfall. Stay indoors and stay safe.,"Hyderabad, Telangana",2020-10-14,medium,Flood,Hyderabad,Telangana
"Cyclone Nivar has made landfall near Puducherry, bringing heavy rains and strong winds.",Puducherry,2020-11-26,medium,Flood,Puducherry,
Cyclone Yaas has caused flooding in Balasore. Evacuation efforts are in progress.,"Balasore, Odisha",2021-05-26,high,Flood,Balasore,Odisha
Heavy rains have led to landslides in Idukki. Rescue teams are on the ground.,"Idukki, Kerala",2021-10-17,high,Flood,Idukki,Kerala
"Cyclone Tauktae has battered the western coast, causing damage in Mumbai.","Mumbai, Maharashtra",2021-05-17,high,Storm,Mumbai,Maharashtra
Flash floods in Chamoli have damaged infrastructure. Authorities are assessing the situation.,"Chamoli, Uttarakhand",2021-02-07,high,Flood,Chamoli,Uttarakhand
Cyclone Gulab has brought heavy rains to Visakhapatnam. Flood warnings issued.,"Visakhapatnam, Andhra Pradesh",2021-09-26,medium,Flood,Visakhapatnam,Andhra Pradesh
